video name,transcript,extracted
Composition of the Atmosphere, cone children lets explore the composition of the or atmosphere or it is the only one in the solar of term that has atmosphere to support life take look over the pair the main constituents of air are nitrgen oxygen argon carbon oxide and traces of other gases lets discuss the properties of these gases one by one nitrogen makes to seventy eight per cent of the volume of the air it is needed for or will by and in this form so battery outer the in these any ogen which is then used by the and nitrogen moves between atmosphere misphere and yespherine in one in separation ago on agent makes twenty on the set one of are or living lens in loading for their arrival re are green and be use oxygen during fats and spheres and in ures tested the antigen balance in the atmosphere carbon dioxide or about the one ore or and volume of air it is used by the green and to man their wooden is in as by line means carbonic side as the uniformity of the solving in are relations coming from the sun resounding in the meeting of the order is the of gas green houses open so far bandioie is not as green houphas tergreen house as as in water in an ion side and in an denote carbon dioxide is in made by an cos and in of trees in atmosphere in it bonding of use also testes the armed oxide balance in the atmosphere and you in an we have in carbon oy level we can to hide well it with as globe warming lobe warming is the is in the or average the lower warming has many one gases limiting of by spheres and later sing elevator rides anode the low lying areas this can destroy the iii the ewes and the natural habitat of the animals or ovarian see the water and lime,"['oxygen argon carbon oxide', 'carbon oy', 'atmosphere carbon', 'carbon', 'oxide balance', 'green houses', 'ion side', 'carbonic side', 'natural habitat', 'elevator rides', 'tergreen house', 'nitrogen moves', 'battery outer', 'other gases', 'main constituents', 'cone children', 'warming', 'green', 'oxygen', 'balance', 'atmosphere', 'nitrogen', 'gases']"
Conducting system of heart, let learn about the conduction system of heart is it it ar on do that this pump work without rest to out our life pumping blood to all the organs we will not ride to understand the way by which ar heart beat is generated and is conducted all over the heart the activity of the heart muscle is under the control of aspection time of cardiac mate which makes up the conducting system the heart conducting system is responsible for maintaining and monitoring are consistent and heavy heart beat the conduction system includes several component the first part of the conduction system is the sino atrial or not located in the minor cation of the heart at the top of the right drum without any neural stimulation the sino atrial node renerically int electrical impulses finite titime for minute at its tables the basic rise of the heart beat it is called the has nactorpasemac or other parts of the conduction system includes the atrio ventricular or alinote the atrio ventricular band non and bundle of his bandebrante arriving from potent fibers all these component cardiac the contraction and relaxation of the heart chambers when an electric infant is release from the sino atrial or esenote it coin the area to contract the signal passes to the atrio ventricular or by note the by note check the fine and passes it on to bundle of is and its branches the work in ge fibres of the conduct in system pass through the mass and fibers of the ventro are them to contract,"['component cardiac', 'ventricular band', 'heart', 'electrical impulses', 'neural stimulation', 'right drum', 'minor cation', 'first part', 'aspection time', 'pump work', 'conduction system', 'atrial', 'ventricular', 'component', 'cardiac', 'work', 'basic', 'system']"
Convection, you must have seen a hot air balloon rising upwardsion the sky agasboiner heats the air inside the hot air balloon this heated air expands and becomes less tens therefore the hot air balloon rises oxthis mode of heat transfer is known as convection let us understand the concept of convection in air in detail for this experiment we will require a convection box two glass chimneys acandle atorch apes tile and the match box please the convection box on the table insert the glass chimneys on board the holds of the convection box now open the door of the convection box light the candle and place it inside the convection box below the left chimney close door of the convection box switch off the lights now light the bestile and hold it above the left chimney light the doorch and hold it over at the left chimney and observe the path of the smoke now hold the lighted bestile above the right chimney hold the door over the right chimney and observe smoke from the bestile rises up when the bestile is placed over the left chimney and the smoke flows down when the pestle is placed over the right chimney a convection current in which the hot air is replaced by the cold air is set up in the convection box,"['chimney close', 'convection box', 'air', 'heat transfer', 'less tens', 'sky agasboiner', 'chimney', 'box', 'convection', 'glass']"
Convection in  Gases, you may have seen the helium balloons flying in the air have you ever wondered how hot air balloons work they are part purely by heat source they do not need to be filled with helium using only hot air they rise high above us taking passengers on ar unique journey this is possible because of the way gases react to heating gas molecules like those in air are free to move around constantly when the air inside the balloon is heated the molecules move more quickly and hit against the inside of the balloon filling it up the inflated balloon becomes lighter and floats in the air by carefully adjusting the size of the flame heating can be controlled if the temperature decreases the balloon descent and wise versa the external air and pressure is not relevant to the process the earliest hot air balloons were simple paper lanterns instead of large adjustible burner they use the single candle to heat up the air inside the paper shell the same concept of hot air becoming lighter and rising up finds many applications in everyday life are conditionas are preferably placed high on the wall for uniform cooling it sacks warm air from the surrounding environment cools it and produces are drought of cold air the heavier cold air descens taking place of lighter warm air that rises up and gets cooled by the air conditioner for the same reason refrigerators are designed with the freeze compartment on top the warm air from the food kept inside the refrigrator rises up to the freeser where it gets cooled the cool air is circulated to preserve the food in the refrigerator for a long time,"['hot air balloons', 'cold air', 'warm air', 'hot air', 'air', 'same reason', 'heating gas', 'many applications', 'single candle', 'way gases', 'heat source', 'paper', 'adjustible', 'balloon', 'unique', 'same', 'heating', 'balloons', 'everyday', 'heat']"
Dam-Multi-purpose River Valley Projects, multi purpose river valley projects other projects that are designed for irrigation power flood control municipal and industrial recreation and fish and by life benefits they are used for various purposes drought control during the raining season the gates of the dam can be closed and water is stored in the lake behind the dam stored water can be utilised in the drought pronareas through the canal flood control multi purpose river projects are designed for achieving flood control in the river basin water can be stored during high rainfall season and utilised in summer season or at other times of need irrigation stored water can also be used for irrigation through the canals water transport dams provide natural route for inland water transport fishing they can also be used for breeding fish hydro electricity in multi purpose dams the water that is collected in the reservoir is dropped from an height to generate hydrolectrocity recreation the lake created behind the dam provides scope for various recreational activities,"['water transport', 'purpose river', 'flood control', 'drought control', 'rainfall season', 'various recreational', 'water', 'river', 'drought', 'hydro', 'recreation', 'season', 'irrigation', 'other', 'purpose', 'various']"
Discovery of Silk, silk is one of the most price fabrics in the world most people after war silk or barrel on specialk and auspicious occasion silk is obtained from silk worms which are cultured on commercial scale to obtain silk but have you ever wondered that how this fibre was discovered five thousand tears back by the mankind according to an old chinese legend silk was discovered by chinese and press she found some white worms eating up the leaves of the man berry trees in her garden she noticed that worms were pinning shining cocoons around them she collected some of those cocoons accidentally wone of the cocoons chopped into her cup of tea she noticed that the cocoon was actually made from a long thread that was both strong and soft in this way the fibre of silk was discovered by shines guarded the secret of silk for over one thousand years afterwards traders and travellers introduced silk to various parts of the world silk was introduced in india about nineteen hundred years ago the story of its introduction is related to at shinese princes who married an indian prints she was very fund of silk fabric and therefore she brought silk worm eggs to india in her head dress and fed them with the leaves of indian marbury trees in treating the silk production in india currently worlds production of silk is estimated to be around one lack and twenty five thousand metric tons barrier china hold to position with production of about eight per cent of the world silk in dia is also are leading producer accounting for ten per cent of the world production in the eyes the world second large producer and consumer of silk and its products,"['world silk', 'silk worm', 'silk worms', 'occasion silk', 'silk', 'indian marbury trees', 'world most', 'tons barrier', 'most price', 'berry trees', 'large producer', 'shinese princes', 'various parts', 'long thread', 'commercial scale', 'world', 'indian', 'producer', 'chinese', 'worms', 'head']"
Discovery of silk, you have probably seen people wearing silk garments they have as soft silky and shine texture silk is one of the most expensive fabrics and is known as the queen of textiles have we ever thought about when and how this fabric came into existence well silk has ar fascinating history that began in ancient china akilogical evidence of silk the back to three thousand and five thousand base in china let us know about the discovery of silk in detail according to an old chinese legend silk was discovered accidentally in the twenty seven century base it is said that the chinese emperor anti asked empress laisu to find the cause of malbury leave damage in the garden the empress discovered some white worms eating of malbury leaves she also noticed that the worms was spinning gleaming cocoons around themselves one day akukoon from malbury tree fell into her up of the accidenta when she tried to put it out that thread of the cocoon began to an role lisu observed that the cocoon was made of as single long and delicate strand the empress them thought of leaving the thread into ar piece of clot when the empress shared this with the emperor he encouraged her to observe the life cycle of as silk worm she soon learned how to ray silk worms also non as sericaltar then she had afforest of malbury trees to feed the silkwrms in addition empress lisu is said to have invented the silk ree which was used to spin silk fibers obtained from cocoons into of sing al tread she also invented the silk loom which combined threads to we as of clot or discovery was spread throughout china and thus the silk in the three was born for hundreds of years china silk production was kept as secret in the beginning silk garments were deserved for the emperor and the royal family gradually it spread among those who could afforded you would be surprised to learn that silk was so valuable in ancient china that it was used as currency as time passed silk became essential for the chinese economy later fades and tables from china introduced silk to other countries eventually an network of tree roots was established to facilitate silk reading through atria the mid least the mediterranean and are the rod date is still non as the silk rod did you know china leads the world in silk production in they also ranks among the leading silk producing countries lets recall what we have learned akilogical evidence of silk the its back to three thousand and five thousand base in china according to old chinese legend the shines empress lisu discovered silk by accidend when as silk worm cocoon from amalbury tree dropped into her cup of the and an rolled into delicate strands the empress then raised silk worms and invented as silkloom to wave the fed into lot,"['china silk', 'silk rod', 'silk worms', 'silk worm', 'texture silk', 'silk', 'empress lisu', 'chinese emperor', 'china akilogical', 'malbury tree', 'ar fascinating', 'empress', 'chinese', 'other countries', 'royal family', 'life cycle', 'single long', 'day akukoon', 'century base', 'expensive fabrics', 'soft silky', 'china', 'tree', 'al', 'delicate', 'ar', 'malbury', 'lisu', 'emperor', 'akilogical', 'rod', 'worms', 'countries', 'base']"
Excretion in Animals, our cities possess sa garbage disposal system in place which maintains clean and hygienic living conditions what would happen if some one never disposes his or her carbide and left over food if garbages not removed regularly from our surroundings than it will wrought and give rise to varies diseases similarly are body produces various types of topic waste products which be eliminated from the body now on we think from where these waste rodcts come from these waste substances are released as by products of whereas chemical reactions taking place in our body excretion refers to the biological process involved in the removal of metabolic wastes red used by the living organisms the organs that take part in the process of excretion constitute the excretory system the carbon dioxide dissolved in the blood is removed from the body through the lungs and the undigested food is expelled out through the process of ejection but what about other waste materials which are dissolved in our blood how they removed is there any mechanism to filter blood blood capillaries in the kidneys filled are laden removed the dissolved waste substances the blood entering the kidneys contains both useful and harmful substances the useful substances are absorbed back into the blood whereas the waste materials are diss in water and removed in the form of urine from the kidneys the urine travels through narrow muscular tubes called ureters each ureter is about ten to twelve inches in lend from ureters uninus pass into are triangular muscular sac known as urinary bladder urine is collected and told temporarily in the urinary bladder when the bladder becomes distended the urinis released out of the body through muscular tube known as urethra an adult human being normally passes about it hundred to two thousand milileters of urine in twenty four hours the composition of urine varies considerably as it depends on various factors urine contains ninety five per cent water and to point five percent urea and to point five per and other waste substances our skin also plays an active role in the removal of waste from the body you must have experienced sweating during hot summer days to to profuse sweating white patches are formed on our clots poticalarly near the under arms have you ever bonded why these patches are formed the sweat contains water and salts these white patches are formed due to called deposition what do you think does sweat serve any other function yes wet helps to cool our body but how the once lies in evaporation let us understand this phenomenon through the example often ordinpot order pots have been used to store and cool water since time immemorial other pots have numerous tiny holes in their walls through which water evaporates and comes and contact with the air these constant evaporation of water keeps the water inside the pot cool similarly sweat coming out of the poles in our skin evaporates and helps to cool or body now the next question that may come into ones mind is that what is the mode of excretion and other animals is it similar or different from ours all wortobrat animals produce nitrogenous waste in one form or another which has to be removed however though we in which these waste substances are removed from the body of an animal depends on the availability of water the chief excretory product of aquatic animals like fishes is ammonia which directly dissolves in water some animals including reptiles and birds excrete as semi solid white colored compound known as uric acid and in human beings urea is the main excretory prodat what will happen if apersons kidneys stop walking due to any infection or injury kidney failure results in the accumulation of waste products in the body this condition can be fatal if not addressed on time in such condition how the waste substances can be eliminated from the body when both the kidneys disfunction are dilates machine which is also known as artificial kidney is used to remove harmful waste products from the blood as most of us know manufacturing of product is not possible without generating any waste the same condition applies on the living systems as well because they act as cellular factories hence the waste produced continuously shall be removed on regular intervals,"['other waste substances', 'other waste', 'waste substances', 'immemorial other pots', 'solid white colored', 'other animals', 'excretory system', 'waste', 'various factors urine', 'garbage disposal system', 'blood blood capillaries', 'muscular', 'excretory', 'cool water', 'bladder urine', 'other', 'urine varies', 'order pots', 'birds excrete', 'ones mind', 'next question', 'constant evaporation', 'active role', 'percent urea', 'undigested food', 'carbon dioxide', 'biological process', 'chemical reactions', 'varies diseases', 'kidney', 'human', 'living', 'white', 'animals', 'condition', 'tiny', 'summer', 'kidneys', 'wastes', 'excretion', 'substances', 'cool', 'water', 'bladder', 'various', 'urine', 'urea', 'evaporation', 'blood', 'process']"
Fertilisers and their comparative account, fertilisers are artificially synthesised chemical sols are organic compounds rich in nutrients especially nitrogen posperous and potassium some commonly used fertilisers are ammonium of it urea ammonium nitrate and sodium nitrate fertilisers are used when the soil its deposit of particular nutrient they ensure the lumen of healthy plants with good vegetative growth but prolonged use of fertilisers may change the nature of soil making it to acidic or alkaline for example prolonged use of sodium nitrate in same soil increases en algalinity while ammonium salted increases the acidity of soil excess of fertilisers applied instead of being adsorbate plants gets washed away due to train or irrigation it reaches the ones and lags leading to water pollution thus fertilises be to be carefully applied in terms of proper does and time as the last considering the tree and post application consequences usage of fertilises over along period of time in the same area makes the soil in fertile as organic matter is atria genes as fertilises do not provide any humans to the soil these also affect the micro organisms present and soil thus the farmers and apiculture should be aware of the long term benefits of many and soften benefits of fertilisers as the last their requirement for the soil before selecting any means of nutrients,"['same soil', 'organic compounds', 'along period', 'proper does', 'water pollution', 'particular nutrient', 'nitrogen posperous', 'chemical sols', 'nitrate', 'term', 'organisms', 'consequences', 'vegetative', 'plants', 'organic', 'same', 'soil']"
Fibre to Wool, he yes male as this lakes meet from we can keep we fan do you know where we get wool wool is an natural fibre and it is made from the here of sheep got rabbit jack et cetera let talk about how wool is from formed from sheep here to colourful sweaters and other apparelin several steps another apparel in several steps sheep are hubyvos the eat grass and leaves as well as are mixture of pulses can jowar oil cakes and minerals shapes look after the sheep and provide them with food shelter and medical car during the winter season the keep the sheep in does and feet them leaves grains and drifoder sheep of good breeds have are take coat of her on their bodies sheep here has two types of fibres the cos bred here and the skin here the fibre used to make wool is derived from the her on the skin now we will understand the process of making wool the process includes shearing scouring souting dying combing and spinning let us discuss these steps on bi van shearing is the process of removing here from asheep's body in the form of flees when the reared sheep has grown are tacot of her the heriscut of for wool production fleet is the sheep cut of wool coat along with atinlar of skin let us learn more about sharing shearing is done with machines similar to those used by bobs to share here it does not harm the sheep the cause the uppermost layer of the sheep skin is dead the sheep re grows its here just as we do after ar her car the shering of sheep is done only von sayar at the start of the same season do you know why the sheep can survive in hot weather without here and when winter arrives the thick here on their bodies grows bag after shring the shed skin with here is dipped in large water tanks and stirred with as spade the water has some chemicals in it that remove grease dirt and dust from the flees this process is called washing or scoring nowadays scoring is an by machines also after washing the fleet is drive bar blowing cool ear thread the next stepays sorting of fibres sheep fleet contains fine and cos wool fibres as well as some long and short wool fibres the fleet is sent to of factory where it is separated into different sections of fibres some small flofyfibers cal birds and unwanted materials like twigs or leaves are also separated out from the here then the here is cleaned and dry the process of separating the fleece into different sections according to the colotyof fibres is calsting wool of the same colity of ten from are large number of sheep fee is then mix together after soting the fibres are tied in different kales did you know that sheep natural fleece or here is white brown or black in colour so wide woolen fibres are died in various scales the coloured fibres are then used to make hyan the next step is coming coming is ametod of preparing wooden fibres for spinning theyan this is done by using comes with metal tet the process of combing stratens in tangled wooden fibres and also removes any impurities if peasen after combing the fibers are extracted and twisted in toyans the process of creating jam from fibres is callspinning the yon is then knitted of wovento former fibre we have probably seen peepulinyor family nitting as single woolenyan in to as sweater using knitting needles the process in which are single an is used to make apes of fabric is called nitting wool is easy to nit with needles because it has and natural bent to it wool en fabrics such as sweaters are nitted by making nots with loops and rings of long fits of jan in addition to knitting hand looms and parlooms are used to make fabricfrom oldenyan the process is called wearing wearing is the process in which two sets of ons are used to make up piece of fibre fine an is oven to from wooden loads like shals lets recall what we have learn shearing scouring souting dying coming and spinning athesteps used in the reduction of wolfromsheep shearing involves the removal of here from asheep's body in the form of flees scoring is the process of cleaning fleece with water to remove grease dirt and dust the fibre is then sorted dyed comb and span into wooden earns wearing are knitting is used to make far brick from wooden an so,"['fibres sheep', 'several steps sheep', 'sheep natural', 'sheep skin', 'wool fibres', 'sheep', 'wooden fibres', 'wool wool', 'natural fibre', 'woolen fibres', 'apparelin several steps', 'van shearing', 'large water', 'same season', 'jack et', 'fibres', 'flees scoring', 'unwanted materials', 'small flofyfibers', 'cool ear', 'drive bar', 'grease dirt', 'hot weather', 'von sayar', 'uppermost layer', 'machines similar', 'good breeds', 'medical car', 'food shelter', 'minerals shapes', 'oil cakes', 'eat grass', 'colourful sweaters', 'wool', 'shearing', 'natural', 'fibre', 'wooden', 'different', 'large', 'same', 'water', 'season', 'skin', 'sweaters', 'steps', 'white', 'long', 'next', 'machines']"
Food from Animals, animals provides with food let us see how we get food from both land and animals like plant food animal food is also very nutritios and good for our health cheese butter and current are also animal foods because they are made from milk and milk is obtained from an animal dine meters one of the stable food in some countries animal and bird meat are rich and proteins bitumen mean and iron there is the variety al meat poda available these days got fish is also like by many people it is the prime source of high quality proteins consumption reduces the chances of hard diseases in lion means you must have rd the names of catfish is sa tuna and so on these fishes are commonly consumed as momaldunot sandwich fish carry sa chyme and red fish are very popular fish products in fact people also enjoy eating sea food sea food is as nutricious as other animal products it is also very popular in the coastal areas,"['food animal food', 'al meat poda', 'animal dine', 'sandwich fish', 'quality proteins', 'animal', 'food', 'fish', 'hard diseases', 'prime source', 'proteins', 'meat', 'sa', 'people', 'cheese', 'coastal']"
Formation of water table, when rainfall hits the earth surface the water can run off the land or water can sleep into the soil ground water or water below the surface makes up most of eats liquid fresh water some soils are good at absorbing ground water than others sand for example is really good at soaking up water the soon where the ground water completely fills open spaces under the earth surface is called the saturated zone this zone is saturated with water there is space above this in the soil where moisture exists but it doesn't completely fill all of the open spaces and this region where the soil is not saturated is called the unsaturated zone the boundary between water saturated ground and unsaturated ground is called water table below the water table rocks and soil are full of water the pockets of water existing below the water table are called aquifors during rain water enters aquifers by moving slowly down through alair of surface rocks and soil this re charges the water table sometimes he water table runs intersects with the land surface resulting in the formation of ar stream or and oesses ground water makes up more than won fist of earth total fresh water supply and at place anumber of critical atological and biological rules,"['ground water', 'unsaturated ground', 'water', 'unsaturated zone', 'critical atological', 'place anumber', 'ar stream', 'open spaces', 'ground', 'surface', 'zone', 'biological']"
Graph and its Types, cricket is one of the most widely viewed games in the world he also must have watched acricked match on television while watching the game you must have come across apicturial representation of the runs code like the one shown here can you tell the runs cord in the cores cover of the match by looking at the graph in this pictorial representation the height of the rectangular bars represents the runs cold in re particular over as marked on the horizontal axis this pictorial representation of the rns old pore over is called ar bar graph there are different times of graphs that can be used to represent are given set of data but do you know watograffis agraf is the way to represent data visually al graph is are very useful tool for representing data as well as extracting hidden information from the data said the data shown here is the number of runs co in each ball of ar given over this data can be represented by ar bar graph which is shown here the markings on the horizontal axis represent the ball number of the over whereas the matings on the vertical axis represent the runs cord on each gal this bar graph tells us that the high as runs was cord on the fourth ball whereas the lowest runs was cord on the turgor there is another type of graph called the pacha in apaycha the data is represented over aciculadis the slices of pay show the relative size of the data let us see an example here ar man ends territory thousand ethane tin amar the monthly ex pens data of the person is shown in at table here apaychat corresponding to this data can be grana shown here the angle subtended by as sector representing the particular expense at the sent is given by the formula shown there is also another type of graph called the line graph this is the most common type of grave while line graphs are use the gross many different feel for de fan purposes they are most common function is to create at grafical detection of changes in values over time for example the distance covered by agar and the time regard to do so are shown by the data given here this data can be represented by ar line graph as shown testes to be followed while grind he line graph all given here first grato perpendicular lines that intersect at at point say or mark the horizontal axis as owe and vertical axes as ova let the horizontal axis owes represent the time and vertical axis ova represent the distant now we must use scale to represent the distance and time on their respective axes suppose on the time axes correspond of of onsentimeta corresponds to at time of one minute and on the distance axes correspond box of on centimeta corresponds to at distance of on kilometre no mathe balls of time and distance on the respective axes as per the chosen scale next mark the points on the graph paper to represent set of values corresponding to the distance and time from the table to mark these sets of points we look for the point on the horizontal axis corresponding to that time we then draw al lim called to the viaxes through this pine then we draw another line called to the ex axes through the pond corresponding to the distance for that time the point where these to lines intersect represents the distance covered by the car in that particular interval of time in is similar manner mark the points corresponding to difference at of values on the graofpata join all these points to former lime this line represents the distance time graph for the motion of the car if the distance time graph is astatine it means that the object is moving with the constant stay the distance time graph gives as atm formation about the motion of the car thesis that given by the table for example the information regarding the distance covered by agar at an instant of time can be found using this graph the distance time graph can also be used to calculate the average speed of the car thus an learning can be summarises as follows al graph can be defined as apictory representation or day gram that represents data of values in an organise manner apargraf is the grafcal display of data using bars of the fan him apaichap is the tip of graf that represents the data in aciculafam individual data is represented by as sector of fades amine graph connects individual data points the typically display condititive values over as pesified time in tower the distance time graph can be used to calculate the averespeet of an object over are given in tie of time,"['time graph', 'line graph', 'time axes', 'grato perpendicular lines', 'amine graph', 'al graph', 'ex axes', 'manner mark', 'many different', 'graph', 'runs', 'next mark', 'manner', 'individual data', 'axes', 'axis', 'car thesis', 'atm formation', 'constant stay', 'former lime', 'mathe balls', 'grafical detection', 'fan purposes', 'relative size', 'hidden information', 'useful tool', 'watograffis agraf', 'rectangular bars', 'cores cover', 'particular', 'representation', 'different', 'time', 'corresponds', 'common', 'tin', 'ball', 'old', 'ex', 'line', 'lines', 'mark', 'data', 'al', 'fan', 'bars', 'information', 'car', 'values']"
Green House Effect, the average surface temperature of the earth is suitable for living organic en because of an naturally occuring phenomenon called greenhouse effect the done greenhouse effect as binderide from the phenomenon of greenhouse agreenhouse as or small glass house used for growing plants especially during winters the glass panel in the greenhouse allows the light to pass through it however it does not allow the inside heat to escape out in the surrounding the ar confine within the greenhouse congenese to heat at hence the temperature inside the glass and closure increases and becomes higher than its surrounding life on earth is dependent on the energy in gets from sand when sunlight reaches the outermost lear of the ramosphere one fold of the incoming radiation gets reflected by the water we per clouds and atmospheric gases however the rest of the incoming solar radiation falls on the earth offers the old offers re emits the infrared radiation in the form of heat which passes through the atmosphere and gets lost in the space just like in ar greenhouse the fraction of radiations feel to escape from the earth and hence gets absorbed by the atmospheric gases these absorbed radiations and then emitted towards the earth suffers by the gases this trapped heat is responsible for heating the ears offers an atmosphere the atmospheric gases at as the glass paints of the greenhouse and are thus known as greenhouse gases this natural envelope of greenhouse gases insulate the ears gate heat released by the earth and carbon maintaining the global temperature which sustains slide the major greenhouse gases are waterwaper it too eating she at for nitric oxide in to all and carbon dioxide see or to carbon dioxide is rides by combustion of organic matter and wall canicerapsion litres of side is reduced by mining and decay of land ers and retain also known as march gas is found in marshes and vetlands and increase in the concentration of greenhouse gases re render heat from escaping the surface of the earth which enhances the greenhouse effect carbon dioxide accounts for mol tan sixty percent of the in hands greenhouse effect human activities such as in dustralisation fossil field combustion and deforestation contribute to in rise in the level of carbon dioxide the amount of carbon dioxide has doubled due to industrial revolution the rate of increase of carbon dioxide is approximately the or point for per cent per year the current analyses suggest that the combustion of fossil fuels is an mature contribute to the increase in the concentration of carbon dioxide concentration of several other greenhouse gases in the old atmosphere has also increased by proximal twenty five percent the natural phenomenon of greenhouse effect getthe average global temperature within an optimal range however increase of the greenhouse effect has as serious impact on the earth and its and vioment the enhance greenhouse effect causes global warming which has led to global climate change global warming is the increase in the surface temperature of the earth according to sites the average temperature world wide will increase between one point fit to five degree sols is by the year twenty one hundred when of the main effects of arise in temperature is melting of glaciers which in turn will lead to arise in the sea level and increased costal flooding the extreme and fluctuating weather pattern will thereby affect agriculture forestry and human health to decrease these long term effects efforts are being made to reduce the greenhouse gasemissions use age of renewable energy expansion of forests and making better life style choices that reduce the consumption of fossil fields are some of the major steps that have been taken to sustain the environment,"['hands greenhouse effect human activities', 'greenhouse effect carbon dioxide', 'other greenhouse gases', 'major greenhouse gases', 'greenhouse effect', 'greenhouse gases', 'ar greenhouse', 'average global temperature', 'greenhouse', 'global temperature', 'fossil field', 'term effects', 'average temperature', 'life style', 'gate heat', 'glass', 'fossil', 'carbon dioxide', 'optimal range', 'mature contribute', 'current analyses', 'industrial revolution', 'mol tan', 'march gas', 'land ers', 'organic matter', 'nitric oxide', 'outermost lear', 'global', 'effects', 'temperature', 'human', 'radiation', 'canicerapsion', 'natural', 'old', 'energy', 'life', 'heat', 'average', 'major', 'gases', 'ar', 'carbon', 'point', 'level', 'contribute', 'organic']"
Hot and Cold_CBSE, during summer on ar sunny afternoon jason is returning home from cool he is sweating allowed do you know the reason behind this yes of course it is due to contains heat of the shining sun to overcome the heat jason preferred to eat ice cream on reaching home he immediately takes out are cold water bottle from the refugerator and drinks cold water after some time his mother served him hot food to from the above discussion we notice that some objects are hot while some are cold let us learn more about hot and cold in our everyday life we prefer tea soup ice cream cold drink and many more some of them are hot like tea and soup whereas some of them are cold like ice cream and cold ring some objects or colder than others for example ice is colder than cold ring similarly some objects re hotter than others but how do we decide whether an object is hotter or colder than the other generally we use our sense of touch to find weather an object is hotter or colder than the other but do you think our sense of touch is reliable lets find out through an activity for performing this activity take three vessels containing water and label them as one to and tray here vessel one contains cold water vessel to contains like warm water and vessel three contains water at room temperature now put one of your hands in vessel one and another hand in vessel to keep them for about two to three minutes in water after that take out both your hand simultaneously and put them in vessel tray the hand that was kept in vessel one feels the water of vessel three hotter whereas the hand that was kept in vessel to feels cold are from this activity we conclude that our sense of touch is not or reliable source for finding the hotness or cold ness of an object now the question arises if our sense of touch is not reliable then how do we find out how hot or cold an object really is ar reliable measure of the hotness or cold ness of an object is its temperature the higher the temperature of an object the hotter it as and lesser the temperature of the object cold ar its but how we can exactly measure the temperature of any object at device called thermometer is used to measure the temperature of any obj,"['soup ice cream cold', 'cold water vessel', 'cold water', 'sunny afternoon jason', 'cold', 'reliable lets', 'ice cream', 'water', 'room temperature', 'many more', 'everyday life', 'above discussion', 'hot food', 'reliable', 'ice', 'jason', 'soup', 'vessel', 'temperature', 'more', 'hot']"
